AOD,RH,WS,TEMP,PBL,SP,NDVI,PM2.5
84,40.8,10.407,272.72,1245.8,102.05,3262,7.91
55,41.8,11.116,272.66,1212,102.23,1410,10.585
48,38.4,9.162,273.02,1286.7,101.61,2571,13.23
92,26.2,4.463,273.95,1239.5,101.18,1765,61.385
75,32.9,6.559,273.83,1364.5,101.64,2768,15
84,34,6.466,274.49,1396.5,102.16,2284,24.91
56,32.6,6.336,274.44,1366.4,102.34,1843,23.45
115,33.8,6.427,274.53,1384.3,102.24,1573,15.36
39,54.7,2.287,281.89,1628.7,75.395,4701,24.29
90,51.1,2.613,287.91,1585.8,81.068,4372,26.36
115,51.6,2.36,288.26,1593,81.564,3593,31.82
101,52.1,2.139,288.61,1600.3,82.06,3916,28.725
95,52.7,1.963,288.95,1607.5,82.555,3791,23
278,72.7,0.767,294.2,1340.8,95.579,5753,48.5
210,76,2.754,291.95,945.21,97.7,6038,117.68
263,75.7,3.597,291.87,861.89,98.713,1363,87.063
232,76.5,4.039,291.45,806.47,99.14,6865,123.3
94,59,6.693,287.74,1585.3,79.019,4143,18.51
178,69.2,2.676,294.22,1225.2,98.185,6700,68.64
186,70.3,3.191,293.83,1126.1,98.683,4323,137
62,55.8,4.393,288.98,1526,80.733,3739,26.695
34,58.4,5.387,288.55,1560.5,79.801,2303,17.25
255,64.8,1.618,296,1369.6,99.634,2676,127
268,64.2,1.864,296.03,1374.4,100.09,3567,93.41
37,59.8,5.369,289.1,1590.8,80.434,2749,18.77
142,67.3,1.127,295.81,1344.9,98.331,6727,61.38
559,64.4,1.042,296.99,1499.3,98.963,4647,100.5
267,60.3,1.702,298.59,1784.9,97.926,6200,67.57
266,60.5,1.648,298.53,1791.2,97.914,5457,63.36
247,59.8,1.567,298.66,1814,97.902,5747,66.09
566,61.7,1.282,298.56,1686.1,99.409,1540,92.183
642,63.8,1.339,298.04,1579,99.613,2862,95.9
573,71.1,1.491,296.49,1228.7,100.38,2176,140.64
404,76.5,2.076,297.39,1308.7,100.53,4681,20.05
447,70.6,2.313,266.61,143.76,97.545,517,65.92
212,33.7,3.046,267.62,584.45,85.888,1122,82.02
176,34.1,3.04,267.51,577.75,85.967,1156,68.43
158,34.9,3.036,267.63,578.14,86.615,1168,80.25
147,35.4,3.058,267.46,567.58,86.592,1522,56.96
206,37.7,4.308,267.89,475.29,88.718,589,115.73
107,32.4,3.669,269.1,650.88,87.613,1423,85.42
102,32.7,3.596,269.05,642.83,87.7,1421,74.88
116,32.1,3.593,269.36,663.36,87.972,410,80.513
114,32.5,3.533,269.26,651.34,88.029,1215,45.26
56,35.1,4.852,268.74,528.21,87.735,1255,32.5
71,34.2,4.821,268.89,536.02,87.494,1547,28.54
80,37.5,5.333,268.83,485.2,87.98,-2312,47.17
68,37.6,5.252,268.71,485.28,87.781,1114,58.045
71,34.1,1.013,272.32,427.12,84.709,883,134.21
51,32.8,4.8,269.11,543.87,87.089,1738,20
66,32.6,4.729,269.23,559.17,87.235,1588,20.67
89,34.4,1.094,272.41,428.82,85.218,1612,167.9
98,34.8,4.388,270.26,564.56,88.009,1025,69.3
127,34.2,4.057,270.68,589.47,88.113,964,100.25
92,36,5.39,270.54,559.3,86.848,919,90.25
305,38,2.492,268.8,884.75,80.816,1058,87.13
76,45.3,5.313,268.14,388.03,86.455,1184,50.355
105,44,5.376,268.55,414.96,86.472,1159,44.29
173,36.9,5.307,270.72,560.6,86.857,796,88.25
176,34.4,6.725,270.6,850.54,82.919,799,77.237
285,40.1,5.591,270.48,520.83,87.06,1123,112.96
171,24,2.607,272.34,852.09,88.448,1258,120.07
43,30.3,4.422,271.1,680.74,89.237,1361,47.255
177,33.9,3.569,270.35,947.23,81.294,1477,72.65
197,44.1,6.195,270.72,552.63,87.913,1418,78.77
178,44,6.051,270.86,561.95,88.078,1176,84.87
292,23.8,2.488,273.08,867.24,89.202,1533,95.38
314,23.9,2.451,273.22,862.51,89.403,1482,99.96
97,38.5,7.597,270.89,706.68,85.196,1182,46.96
102,38.8,7.54,270.95,697.86,85.41,1027,68.74
315,49.8,4.819,274.42,1022.5,101.96,2706,35.29
50,28.2,2.598,277.11,623.97,85.309,1054,68.625
102,39,7.03,270.26,727.91,83.316,738,79.71
192,32.6,2.13,267.34,974.7,70.607,1657,50.67
139,29.3,1.243,268.77,1080.6,72.032,1213,45.455
32,50.2,4.122,273.64,844.28,88.762,1928,47.195
39,47.8,4.119,273.68,849.07,89.113,2016,66.64
485,31.4,1.722,276.66,756.43,100.65,1221,69.29
449,30.5,1.509,276.64,736.65,100.98,1017,83.045
101,27.3,0.939,269.82,1108.9,73.273,1378,49.04
55,35.5,5.545,271.1,904.35,81.915,978,82.9
28,51,3.921,273.83,854.82,88.912,1918,46.17
407,31.3,1.605,276.68,725.32,101.12,1719,93.71
184,21.9,0.756,276.44,1010.4,101.21,2060,45.88
90,30.3,0.99,269.81,1044.5,73.595,1433,42.46
151,28.2,2.416,274.77,950,89.774,833,60.42
74,36.6,3.519,270.97,930.73,79.953,1002,54.88
63,44.5,6.225,271.47,743.95,82.378,1700,47.75
119,28.5,2.553,274.73,947.61,89.531,1600,67.73
115,28.5,2.393,274.76,962.22,89.632,1795,67.68
521,35.7,2.005,277.31,880.73,99.634,2821,116.13
318,22.9,1.182,276.17,1038.7,100.91,1705,65.67
54,44.3,6.008,271.61,751.9,82.114,1865,59.915
322,26,4.759,275.52,816.2,92.356,1754,32.42
423,26,4.458,275.49,820.16,92.294,1560,69.5
412,38.8,2.043,277.75,875.48,100.92,1682,83.875
430,38.3,1.847,277.74,852.03,101.35,4596,99.67
380,43.4,4.72,276.06,1194.6,102.53,-3000,49.815
486,36,2.185,277.56,958.36,98.744,2224,40.52
90,57.5,4.13,274.23,836.15,88.032,1961,44.19
691,38.3,2.012,278.39,1022.3,100.31,2946,37.72
540,34.5,1.006,277.85,900.43,102.2,2283,120.92
469,32.9,1.007,277.76,888.26,102.28,1270,112.15
76,42.8,4.431,273.96,862.4,84.233,1734,75.13
89,42.7,4.535,274.3,873.91,84.971,1918,80.71
130,57.8,3.867,274.55,834.47,88.501,2339,74.61
109,28.1,2.739,277.37,1066.2,92.756,2042,81.015
556,36,2.227,279.74,1192.3,99.94,1882,76.94
612,37,1.771,279.84,1193.7,100.71,3341,56.79
387,41.7,3.973,277.25,896.24,95.343,1989,49.92
212,56.6,2.266,277.22,959.67,92.178,2297,64.75
406,45.4,3.675,277.51,923.77,95.793,1660,57.06
426,44.5,4.016,277.31,905.32,95.546,776,54.15
253,57,2.204,277.3,955.64,92.33,2691,62.73
289,56.9,2.141,277.58,964.11,93.156,2213,78.42
670,35.5,1.319,280.76,1213.9,100.87,2299,121.58
675,36.3,1.189,280.76,1218.9,101.24,1264,110
674,37.8,0.531,279.69,1157.3,101.99,3268,106.21
655,35.4,1.696,280.72,1187.3,100.77,1227,118.52
711,36.2,1.48,280.76,1194.7,101.13,682,107.4
711,36.9,1.315,280.79,1202.1,101.49,884,118.23
717,37.4,0.703,279.93,1160.4,101.9,1784,97.26
719,37.5,0.609,279.75,1152.1,101.99,1648,121.48
617,29,1.544,277.46,1147.6,102.07,3896,99.25
800,29.2,1.634,277.07,1152.7,101.86,2842,90.78
329,33.7,5.477,279.79,1019.6,97.92,1533,50.927
346,32.5,5.342,280.07,1037.2,98.371,1299,67.19
326,36.5,3.182,276.62,1207,102.79,2689,44.04
202,47.7,2.453,274.81,887.54,84.285,2311,86.54
195,48.9,2.33,274.78,880.14,84.253,1840,117.33
205,57.9,1.632,275.52,817.62,87.112,3184,33.79
600,58.2,2.147,277.87,919.6,93.797,1880,58.74
831,58.8,2.066,277.68,914.65,94.346,1303,69.46
695,59.4,2.058,277.46,904.82,94.497,3025,57.04
736,59.9,2.223,277.27,870.1,93.088,290,57.1
621,60.1,2.235,277.17,867.77,93.138,1079,83.63
560,61.3,2.439,276.75,820.63,91.905,1582,65.95
172,61.2,3.341,276.36,795.12,90.165,2604,38.75
248,56.9,2.588,280.08,1072.7,95.707,3227,69.42
1161,37.2,4.081,278.9,1411.2,102.76,2369,48.63
1037,37.5,3.942,278.98,1401.4,102.71,2535,39.08
1101,37.6,4.057,278.99,1410.4,102.73,1478,42.08
1008,38.1,4.033,279.07,1409.6,102.71,58,44.19
809,46.5,2.622,280.08,1139.9,100.69,2361,99.837
853,46.6,2.586,280.08,1136.6,100.92,2244,124.58
899,36.9,3.304,279.4,1397.6,102.61,1439,49.74
930,38.5,4.009,279.16,1408.8,102.68,2750,35.3
964,38.8,4.242,279.18,1425.7,102.73,2440,41.05
903,37.2,3.136,279.52,1390.8,102.58,1903,43.96
878,37,3.175,279.48,1398.7,102.61,1537,46.16
806,37.3,3.288,279.44,1399.4,102.62,3207,52.26
1192,41.2,2.995,279.93,1266.1,102.39,2745,61.52
1208,40.7,2.991,279.89,1271,102.39,1908,59.13
984,38.6,3.621,279.39,1397,102.61,2250,36.56
714,40.3,4.574,279.23,1427.6,102.79,2858,45.87
788,41.1,4.797,279.31,1456.6,102.8,-943,56.075
775,41.4,4.863,279.35,1467.1,102.79,749,54.04
1162,41.5,2.958,279.97,1263,102.39,2002,62.17
1162,41,2.942,279.94,1267,102.4,1584,75.78
1163,40.6,2.925,279.9,1270.9,102.42,1764,73.395
650,40.9,4.58,279.18,1406.5,102.78,1997,49.46
671,42.4,5.004,279.43,1473.3,102.78,1821,61.195
927,42.7,3.03,279.97,1240.9,101.66,2081,52.85
1097,41.3,2.9,279.98,1262.9,102.42,1887,64.71
631,41,4.335,279.22,1384.3,102.69,3747,42.345
630,41.6,4.587,279.13,1385.5,102.77,682,49.285
611,41.8,4.683,279.14,1392.3,102.79,1674,48.35
587,42.7,4.824,279.23,1399.9,102.78,1878,52.46
602,43.3,4.834,279.2,1381,102.77,2391,55.065
583,43.4,4.901,279.29,1396.8,102.77,1653,58.41
715,43,2.909,279.84,1306.7,102.51,1805,46.46
688,43.1,2.976,279.77,1309.5,102.49,2636,48
627,44.7,5.196,279.49,1401,102.77,1820,50.74
710,51,6.299,279.57,1416,102.75,1206,34.783
773,45.6,5.285,279.43,1355.4,102.78,1556,47.667
690,50.9,6.296,279.62,1401.2,102.74,1136,38.13
484,47.6,0.765,282.26,1320.3,100.95,3094,94.21
735,47.2,5.636,279.58,1367.8,102.77,1943,44.83
836,46.2,2.226,281.01,1147,102.37,2402,140.85
688,47.2,5.37,279.68,1327,102.75,2224,40.447
570,63.6,1.368,283.15,1204.8,98.517,4695,35.92
831,46.4,2.437,281,1121,102.5,1524,136.73
842,49.4,2.141,281.25,1121.6,102.57,1970,110.75
772,45.1,2.965,281.24,1154.6,102.18,3125,114.94
778,45.9,2.995,281.26,1155.2,102.08,2617,126
835,46.6,3.099,281.3,1162.2,101.97,2166,123.67
333,56.6,2.553,281.62,1834.9,75.651,4701,37.863
315,50.1,1.95,288.02,1853.4,81.785,3593,61.59
310,50.1,1.746,288.32,1854.4,82.286,3916,47.33
260,50.1,1.575,288.62,1855.5,82.786,3791,40.92
210,57,1.172,290.45,1627.8,85.047,3454,43.795
1048,61.3,8.998,291.19,699.91,101.78,-417,66.5
894,60.7,8.746,291.38,697.73,101.76,4172,71.74
115,75,5.248,297.74,942.02,100.09,5606,23.75
400,42.4,2.716,269.74,337.96,94.989,1214,166.62
148,48.8,1.908,268.58,404.65,89.704,994,83.86
152,48.3,1.795,268.51,415.6,88.943,1423,71.19
120,33.1,4.493,269.66,828.84,92.626,1704,65.8
78,34,4.317,269.5,777.3,93.06,1455,81.855
122,38.8,7.769,267.65,933.82,85.167,1454,55.57
99,39.2,7.737,267.9,942.18,85.499,1257,41.58
185,33,2.866,272.49,957.15,95.099,2394,63.7
178,33.4,2.904,272.4,941.72,95.151,1893,60.713
255,44.6,5.423,267.7,765.99,86.054,1122,89.633
273,45.1,5.362,267.64,772.74,86.13,1156,80.315
107,36.7,7.092,268.88,936.27,88.129,1975,30.97
78,36.6,7.085,268.86,929.15,88.189,2348,18.43
203,45.2,5.442,267.95,749.97,86.815,1420,98.71
172,45.8,5.452,267.84,755.52,86.79,1168,101.9
184,46.5,5.471,267.72,761.07,86.765,1522,66.48
159,37,6.801,269.26,942.47,88.661,1394,31.8
128,36.8,6.784,269.27,936.66,88.764,1573,54.1
141,54.3,5.271,267.44,467.96,88.435,1007,90.66
133,52.5,5.491,267.94,504.27,88.941,589,97.45
409,37.4,2.331,273.86,774.38,98.509,2128,94
481,30.4,4.084,274.5,969.92,96.757,1901,104.63
71,44.3,7.273,268.96,781.53,87.755,1423,48.81
89,44,7.167,269,792.15,87.838,1421,44.29
534,30.6,3.675,275.3,943.2,98.586,1633,121.43
582,47,1.596,273.33,528.29,100.54,2072,120.55
141,43.5,7.165,269.32,786.18,88.114,410,49.55
161,43.3,7.066,269.32,793.76,88.168,1215,42.76
617,39.2,2.601,274.63,721.62,100.24,1727,113.95
642,32.2,3.092,275.72,876.46,100.25,1805,118.81
653,36.1,2.724,275.22,777.03,100.56,1221,128.47
690,39.9,2.365,274.71,677.61,100.88,1477,139.04
770,55.8,4.858,272.76,406.6,101.77,742,84.995
57,47.7,6.586,269.99,651.2,87.955,1255,32.62
761,36,2.258,275.21,738.62,101.02,1378,148.38
842,39.4,2.075,274.75,645.21,101.27,1162,136.24
61,34.8,1.675,271.19,409.61,82.845,585,52.86
60,46.7,6.656,270.26,667.22,87.714,1547,27.81
71,45.2,5.036,271.4,489.69,88.21,-2312,40.05
85,45.5,5.006,271.31,505.17,88.013,1114,38.355
1018,54.7,3.411,272.99,273.84,102.36,1211,100.95
1028,54.5,3.485,273.04,284.92,102.33,1291,133.01
195,44.3,2.053,270.08,493.55,102.23,2480,41.33
137,36.4,2.256,271.3,420.37,84.387,883,218.14
74,45.3,6.792,270.67,685.36,87.309,1738,33.43
66,45,6.683,270.74,698.25,87.455,1588,30.05
1049,41.6,1.938,274.26,397.31,102.55,1757,117.1
1082,43.5,2.229,273.95,321.95,102.6,1972,122.07
121,37,2.238,271.35,420.63,84.89,1612,235.21
121,41.7,8.444,269.92,713.25,86.708,1414,36.058
103,39.5,4.555,272.95,700.21,88.233,1025,83.48
1180,39.7,3.18,274.18,260.07,102.85,1378,147
124,38.3,4.334,273.32,760.19,88.337,964,133.65
1174,36.6,3.341,274.5,277.67,102.88,899,132.36
1172,37.2,3.497,274.44,277.49,102.88,1027,103.36
1171,38.5,3.808,274.33,277.13,102.88,1534,122
70,35.6,5.499,273.69,784.7,87.075,919,95.71
1206,33.5,3.516,274.82,295.27,102.91,1253,130.81
1187,34,3.689,274.78,295.9,102.9,1114,123.14
1141,34.5,3.864,274.74,296.53,102.9,1265,129.57
1069,28.1,0.563,276.88,693.74,101.51,1767,278.67
1164,31.8,3.607,275.04,307.07,102.92,-117,123.76
317,51.5,3.561,273.02,708.46,102.81,-1946,33.8
50,38.6,4.181,272.21,560.29,86.669,1159,30.52
113,35.1,5.338,273.89,800.92,87.083,796,102.8
1132,28.4,0.862,276.89,640.36,101.73,1261,341.42
1271,28.6,0.656,276.82,609.76,102.27,1520,297.14
1116,33.2,3.984,275.03,311.98,102.91,1079,90.67
314,51.9,3.746,273.34,729.36,102.85,-2421,31.14
58,36,4.535,273.29,667.86,87.032,1168,30.62
53,28.4,1.248,273.43,1105.6,82.948,799,44.76
80,35.1,4.939,273.88,738.32,87.273,1123,96.48
79,34.8,4.555,273.88,711.47,87.383,1135,107.86
109,34.7,5.027,274.19,763.89,87.5,1068,88.903
276,31.9,7.265,273.49,793.19,88.614,1258,114.62
817,28.5,3.534,275.97,353.02,102.86,1567,105.72
60,44.1,5.304,272.49,685.56,89.485,1361,54.24
793,28.5,3.502,276.07,358.15,102.86,1559,126.43
747,23.8,2.724,279.26,781.95,100.84,1152,181.43
121,31.2,7.274,273.79,828.95,88.521,1850,67.14
787,23,3.002,279.67,860.87,100.69,757,155.5
796,23.4,2.915,279.48,798.03,100.99,824,172.05
809,23.9,2.829,279.29,735.2,101.28,1530,150.05
132,31.8,4.082,275.05,756.37,88.083,1418,52.335
110,32.2,4.152,275.06,753.06,88.255,1176,60.65
162,30.3,6.862,274.26,850.37,89.082,1175,73.005
220,29.8,6.569,274.58,850.92,89.485,692,76.025
176,28.4,7.247,275.37,909.23,90.579,1972,32.62
176,27.7,7.374,275.79,927.25,91.133,1658,52.9
206,26.9,7.501,276.21,945.27,91.688,1452,107.14
244,29.3,6.354,274.86,845.56,89.807,1706,120.47
268,29.2,6.277,274.91,851.46,89.887,1323,89.9
245,29.8,6.467,274.56,845.81,89.446,1533,83.103
999,28.4,2.475,277.54,378.46,102.68,1495,163.32
265,29.5,6.279,274.74,840.8,89.653,1482,87.4
87,39.6,5.709,271.91,675.04,88.223,1755,82.1
64,28.6,5.351,275.33,764.4,85.291,1182,50.19
61,28.4,5.198,275.45,778.07,85.511,1027,79.19
837,29.7,3.149,277.18,353.76,102.74,1630,138.76
805,29.6,3.21,277.15,362.8,102.75,1603,123.81
718,34.2,2.782,276.66,564.7,102.95,1073,97.19
727,35.8,2.684,276.59,567.52,102.97,1451,92.52
228,48,3.972,274.84,724.28,102.15,2304,41.43
256,49.3,4.405,274.77,733.86,102.3,1814,34.38
701,27,3.375,277.16,559.82,102.74,1875,107.29
692,26.9,3.318,277.15,568.48,102.73,2238,124.33
311,47.5,2.665,274.66,603.14,102.07,2706,60.425
199,48.6,4.611,274.81,745.91,102.29,2146,37.52
188,48.1,5.826,274.91,780.43,102.52,3262,42.92
155,49.3,6.862,274.87,812.1,102.73,1410,26.975
147,44,4.539,275.14,769.45,102.08,2571,42.805
643,25.8,3.713,277.57,628.84,101.52,2400,181.9
634,25.2,3.612,277.54,647.09,101.39,1765,147.97
688,26,3.175,277.57,665.65,101.7,3103,113.29
574,27.9,2.467,277.64,686.5,102.35,1905,113.88
243,43.3,2.929,275.08,672.51,102.08,2768,61.15
428,27,3.87,277.39,587.79,101.15,2897,73.405
431,31.6,2.165,277.22,676.06,102.35,2741,85.52
453,33.1,2.034,277.08,671.4,102.47,1874,83.42
337,40.9,2.054,275.82,656.66,102.52,1927,56.93
51,36.2,3.628,275.63,815.97,89.416,2016,72.95
855,30.2,3.519,277.33,503.58,101.24,1129,109.56
703,29.7,3.576,277.3,515.12,101.13,1354,100.43
609,29.2,3.635,277.26,526.66,101.02,1851,73
440,32.2,2.071,277.21,687.82,102.29,1841,85.43
70,33.1,4.7,273.73,972.03,82.081,978,63.525
880,31.5,3.297,277.42,480.37,101.27,2060,102.33
925,33.3,2.397,278.52,426.12,102.5,1480,134.51
414,27.3,3.768,276.8,602.9,99.508,1969,133.43
208,42.5,3.139,275.47,677.94,102.61,2284,61
244,40.1,2.335,276.12,692.42,102.76,1843,59.6
233,41.5,2.844,275.79,690.52,102.68,1573,53
700,29,3.618,276.84,552.68,99.793,1801,148.29
596,28.7,3.637,276.81,569.2,99.657,1923,126.86
266,39.8,2.216,276.26,691.05,102.76,1673,47.9
199,41.5,2.897,275.89,699.28,102.69,1908,56.81
114,30.8,3.632,273.98,996.11,82.661,1700,38.15
1145,33.4,3.151,277.36,495.97,100.99,1705,137
122,30.7,3.519,273.92,1025,82.405,1865,31.08
86,35.6,2.485,276.08,784.29,88.349,1961,41.045
846,34.8,1.435,279.17,353.54,102.32,2283,234.76
862,35.8,1.523,278.99,329.01,102.4,1270,255.45
104,29.1,2.523,275.56,1053.9,84.566,1734,49.71
122,28.5,2.486,276.03,1039.8,85.304,1918,66.05
243,41.1,2.564,276.68,649.97,102.08,2243,114.2
929,36.5,2.843,277.86,544.77,101.45,2515,135.24
691,32.5,2.743,277.99,661.47,101.95,607,252.62
702,32.9,2.704,277.98,676.51,102.02,2409,151.14
888,32.2,2.701,278.1,651.52,102.07,2093,143.43
559,36.4,1.77,278.29,734.68,93.495,2213,68.81
988,39.1,2.515,278.38,545.79,102.26,3896,171.86
119,35.6,1.151,275.52,1214.6,84.652,2311,90.62
111,35.6,1.165,275.56,1219.5,84.618,1840,149.52
457,35,2.101,278.1,752.08,102.98,2074,148.46
1034,49.7,2.762,280.1,541.34,102.68,2174,82.05
700,32.1,1.574,278.3,693.17,103.12,1683,108.97
705,32.5,1.691,278.3,690.11,103.13,1899,112.62
663,54,3.015,280.49,448.46,101.88,4524,93.14
714,52.5,2.212,282.09,779.56,100.98,3034,133.89
645,53.4,2.986,280.57,465.94,101.83,2770,105.71
735,40.3,1.351,280.72,781.01,102.86,3571,34.94
752,39.6,1.317,280.66,789.62,102.86,2963,41.79
618,39.1,1.217,280.59,807.2,102.77,1834,42.78
85,14.5,2.856,257.03,1197.5,55.684,703,24.86
640,33.9,2.088,278.82,767.65,103.08,2369,89.575
467,35.3,2.638,278.74,762.53,103.15,2460,120.1
809,34.8,0.983,280.03,855.49,102.7,2240,94.075
654,33.6,1.985,279.02,786.86,103.04,2535,76.65
620,33.8,2.108,278.96,783.57,103.06,1478,86.55
418,35.1,2.631,278.83,774.94,103.14,2318,129.33
777,35.1,0.991,280.12,869.49,102.73,2341,74.57
527,33.8,2.128,279.11,799.48,103.04,58,93.525
871,33.9,1.504,279.82,851.72,102.93,1439,107.95
457,33.7,2.15,279.25,815.39,103.01,2750,84.42
382,34.2,2.383,279.13,807.57,103.07,2440,107.86
797,34.6,1.311,280.09,879.53,102.9,1903,87.05
851,34.1,1.41,280.02,873.55,102.94,1537,97.92
861,34,1.519,279.93,867.37,102.94,3207,110.14
709,41.1,0.986,280.99,903.69,102.69,2745,85.85
784,41,0.944,280.94,905.73,102.69,1908,125.57
721,33.9,1.867,279.78,865.07,102.94,2250,88.175
379,34.6,2.723,279.09,813.15,103.14,2858,130.1
358,36.7,3.123,279.06,824.57,103.15,-943,110.29
350,37.6,3.262,279.06,830.48,103.14,749,95.05
393,44.9,4.403,279.19,886.35,103.12,2177,67.88
734,41.5,1.054,281.06,911.29,102.69,2002,110.14
837,41.4,1.011,281.01,913.46,102.71,1584,115.15
850,41.3,0.969,280.95,915.62,102.72,1764,111.86
468,34.9,2.731,279.13,813.15,103.13,1997,146.38
429,38.7,3.523,279.15,853.55,103.13,1821,119.29
545,41.8,1.285,281.51,962.43,101.97,2081,61.927
796,41.9,1.093,281.07,921.18,102.72,1887,108.71
771,41.8,1.05,281.01,923.49,102.75,2666,111.71
810,36.5,1.314,280.42,927.34,102.92,2493,138
791,35.9,1.397,280.35,922.91,102.93,3448,94.1
672,34.8,2.525,279.4,838.52,103.02,3747,91.905
582,35.2,2.738,279.17,813.16,103.11,682,158.48
581,35.5,2.856,279.12,812.09,103.14,1674,125.48
527,36.5,3.11,279.22,837.48,103.13,1878,155.67
328,39.8,3.855,279.38,894.74,103.12,1475,88.417
480,36.7,3.227,279.32,856.96,103.12,1653,141.72
507,36.4,3.137,279.35,851.34,103.1,3056,124.9
481,44,4.633,279.6,930.86,103.12,2248,80
827,40.6,1.402,280.91,983.93,102.82,1805,74.08
787,39.9,1.458,280.84,980.55,102.81,2636,84.52
589,37.1,3.659,279.59,922.91,103.13,1820,134.96
607,40.8,4.218,279.62,928.55,103.12,1965,72.095
437,47.7,5.174,279.54,934.54,103.11,1656,65.4
652,36.8,3.696,279.66,933.93,103.13,1247,135.66
357,46.9,5.113,279.58,934.69,103.11,1206,66.063
361,48.5,5.311,279.53,935.16,103.11,798,61.303
369,46.2,5.051,279.63,934.84,103.11,1136,71.05
566,51.2,5.642,279.45,937.15,103.11,2688,63
680,42,1.876,280.78,994.2,102.01,2398,67.87
1124,45.5,1.025,282.74,1056.3,102.8,1524,153.26
594,45.5,1.807,281.8,1025.9,101.79,3769,53.35
1124,46.3,1.022,282.71,1050.8,102.88,639,183.19
1117,46,1.008,282.69,1057,102.87,1620,151.63
1124,46.9,1.073,282.76,1048,102.87,1906,165.15
761,36.3,3.497,280.77,1084.9,102.64,2184,71.52
1185,47.3,1.219,282.93,1050.6,102.87,1970,122.43
702,37.1,3.297,280.88,1094,102.19,2040,92.43
773,37.1,3.464,280.72,1083.6,102.43,2590,99.1
443,41.4,2.866,280.53,1027.5,100.48,5927,66.2
496,40.4,2.936,280.65,1048.6,100.86,3467,72.65
927,47.7,0.927,282.68,1070.3,102.28,2166,153.43
949,39.2,3.617,280.38,1067.4,102.04,2144,95.46
647,50.7,3.177,283.1,1101.5,102.2,5641,36.1
635,50.4,3.371,283.22,1102.2,102.46,262,57.64
537,50.2,3.372,283.19,1095.1,102.55,1531,60.747
448,47.3,3.49,283.75,1140,100.87,1737,58.88
475,50.7,3.941,283.76,1125.2,102.26,4266,43.2
479,50,3.947,283.81,1130.6,102.05,2895,42.4
